Altium Designer Pick and Place Locations
D:\Minh\Project_Personal\ESP32-C3-RF\PCB_Project\Project Outputs for ESP32-C3-RF-V1.0\Pick Place\Pick Place for PCB-ESP32-C3-RF-V1.0(Variant of ESP32-C3-RF-V1.0).csv

========================================================================================================================
File Design Information:

Date:       08/05/26
Time:       14:09
Revision:   d44290f21cdde16274a34720f65e526d7e8e3800
Variant:    Variant of ESP32-C3-RF-V1.0
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"ANT_IFA_2.4GHz_IMP50ohm","ANT_IFA_2.4GHz","TopLayer","ANT_IFA_2.4GHZ","358.527","1500.051","0",""
"R4","RES SMD 27 OHM 1% 1/16W 0402","TopLayer","R0402","765.000","483.622","90","62.5mW Thin Film Resistor ±50ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"R3","RES SMD 27 OHM 1% 1/16W 0402","TopLayer","R0402","830.000","483.622","90","62.5mW Thin Film Resistor ±50ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"C19","CAP CER 10UF 10V X5R 0402","TopLayer","C0402","785.000","1153.466","270","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C12","CAP CER 10UF 10V X5R 0402","TopLayer","C0402","830.571","1377.367","90","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"X1","CRYSTAL 40.0000MHZ 8PF SMD","TopLayer","OSC_XRCGB40M000F1S1BR0","875.000","1005.000","270","Crystal 40MHz ±10ppm (Tol) ±10ppm (Stability) 8pF 50Ohm 4-Pin CSMD T/R"
"U1","ESP32-C3","TopLayer","ESP-C3","630.000","1060.000","270","400KB 22 3V~3.6V RISC-V 160MHz QFN-32-EP(5x5) Microcontroller Units (MCUs/MPUs/SOCs) ROHS"
"R23","RES 560 OHM 1% 1/16W 0402","TopLayer","R0402","1007.992","245.000","0","RC Series 0402 0.063 W 560 Ohm ±1% ±100 ppm/°C SMT Thick Film Chip Resistor"
"R22","RES 5.1kO ±1% 62.5mW 0402","TopLayer","R0402","882.992","180.000","180","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R21","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","460.000","1232.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R20","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","200.000","1232.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R19","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","395.000","1232.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
